model,pre_rmse,post_rmse,LSR,pre_regime_acc,post_regime_acc,pre_ari,post_ari
AR(2) Baseline,0.7165447713840872,0.5139613620619979,0.7172773870807069,0.8171641791044776,0.9434628975265018,0.0,0.0
"ARMA(2,1) Baseline",0.8106644839969573,0.5138761432482056,0.6338949747504165,0.8171641791044776,0.9434628975265018,0.0,0.0
HMM,0.6475635756802453,0.3779424979017804,0.5836376712836666,0.8917910447761194,0.9611307420494699,0.5486146267327507,0.6519277272210526
Threshold (TAR),0.6239650473283943,0.39663097827142413,0.6356621726393179,0.17164179104477612,0.16607773851590105,0.357684653085256,0.21483376601519474
ML Regime (XGB),0.13954242652829713,0.44337628673400103,3.177358274379245,0.03731343283582089,0.0035335689045936395,0.8340132949777675,0.9639651280602047
Mixture of Experts,0.6186593453136702,0.406824254242744,0.6575900884175402,0.7798507462686567,0.9328621908127208,0.030251302125766714,-0.017002794654194926
MSNN,0.3261648596684264,0.49337167092384526,1.5126450774395295,0.5111940298507462,0.6007067137809188,-0.0031749000145435947,0.0126041415192244
Markov Switching (MSM),0.8230045431760123,0.7234902036144816,0.8790840934406213,0.7425373134328358,0.9434628975265018,0.12006908124758538,0.0
Model Average,0.5211376911144626,0.4007254499215557,0.7689435172030128,,,,
