model,pre_rmse,post_rmse,LSR,pre_regime_acc,post_regime_acc,pre_ari,post_ari
AR(2) Baseline,2.630576932571384,2.59385509737488,0.9860403869098597,0.8755760368663594,0.875,0.0,0.0
"ARMA(2,1) Baseline",2.532614838862724,3.555685774591183,1.403958359015188,0.8755760368663594,0.875,0.0,0.0
HMM,2.0404980732599283,2.3113996184988204,1.1327624601347128,0.6497695852534562,0.8833333333333333,0.08656128252205454,0.49614232278906295
Threshold (TAR),1.9118841541272908,2.27583485737879,1.190362319430001,0.29493087557603687,0.21666666666666667,-0.10340701967565546,-0.015357712144152161
ML Regime (XGB),0.35653684276590275,2.559010182741462,7.177407405394752,0.7557603686635944,0.9,0.1573207094331665,0.5111139872247941
Mixture of Experts,1.791181461429935,2.9917176475480476,1.6702482190104027,0.847926267281106,0.8583333333333333,-0.000326451532576067,0.20109005870281105
MSNN,1.852000610835515,3.067729971173276,1.6564411218702857,0.5622119815668203,0.6083333333333333,-0.02640460672644093,-0.0056413407259424415
Markov Switching (MSM),2.954246581144998,4.037895654642949,1.3668106376249554,0.8571428571428571,0.875,-0.027989884599648032,0.0
Model Average,1.757132977662864,2.268059381574227,1.2907727583032251,,,,
