model,pre_rmse,post_rmse,pre_mae,post_mae,pre_dir_acc,post_dir_acc,pre_regime_acc,post_regime_acc,pre_ari,post_ari,LSR
Markov Switching (MSM),1.6732481351486233,6.102589321765443,1.2725443975165187,4.651541180139594,0.44375,0.5111111111111111,0.7525987525987526,0.2541436464088398,0.24426977873195382,0.0,3.6471514235850258
HMM,1.5527922057944252,2.5490015755348763,1.189754273047982,2.0543444992529865,0.5291666666666667,0.6,0.6403326403326404,0.7845303867403315,0.07556998723699389,0.1769768507342835,1.6415600003538269
Threshold (TAR),1.5369565037466524,2.7583808564773253,1.1846499467833933,2.1255708502110107,0.5354166666666667,0.6555555555555556,0.5488565488565489,0.6629834254143646,-0.05146404032123059,0.10241488685679909,1.7947032645091079
ML Regime (XGB),0.39571176707078604,3.5393749060682835,0.29693759577406076,2.594618148037398,0.9041666666666667,0.6388888888888888,0.6424116424116424,0.7900552486187845,0.07682745360433327,0.2209288141500392,8.944325621964191
Mixture of Experts,1.339343201189854,2.603852119491081,1.0242228024065678,2.0069861934882267,0.5979166666666667,0.6055555555555555,0.5758835758835759,0.6519337016574586,-0.02156251059415916,0.06136625546555202,1.9441261322965826
