model,pre_rmse,post_rmse,pre_mae,post_mae,pre_dir_acc,post_dir_acc,pre_regime_acc,post_regime_acc,pre_ari,post_ari,LSR
Markov Switching (MSM),1.6732476438883943,11.961017983200406,1.2725441121880072,10.30822601347617,0.44375,0.5217391304347826,0.7525987525987526,0.1341991341991342,0.24426977873195382,0.0,7.148384771220285
AR(2) Baseline,1.6339811437326301,4.260980402599208,1.2485030526629008,3.380927558998476,0.4708333333333333,0.5260869565217391,0.6715176715176715,0.8658008658008658,0.0,0.0,2.6077292362491957
"ARMA(2,1) Baseline",1.6738577402328956,11.608783638732385,1.273920521082791,9.849548541063465,0.47291666666666665,0.0,0.6715176715176715,0.8658008658008658,0.0,0.0,6.93534662639958
HMM,1.6958661453078283,3.8918647462587916,1.293325185782813,3.1579361854626344,0.50625,0.5434782608695652,0.6403326403326404,0.1341991341991342,0.07556998723699389,0.0,2.2949126938656113
Threshold (TAR),1.5369565037466524,4.265759312769071,1.1846499467833933,3.3426978394317794,0.5354166666666667,0.6043478260869565,0.5488565488565489,0.8354978354978355,-0.05146404032123059,0.21339439991437392,2.7754587066029086
ML Regime (XGB),0.39571176707078604,8.470753721825377,0.29693759577406076,6.494689352556864,0.9041666666666667,0.5347826086956522,0.6424116424116424,0.1341991341991342,0.07682745360433327,0.0,21.406373035411228
Mixture of Experts,1.339343201189854,4.742092115886785,1.0242228024065678,3.9102973475961256,0.5979166666666667,0.5434782608695652,0.5758835758835759,0.8354978354978355,-0.02156251059415916,0.020879193777536997,3.540610134977626
MSNN,0.6127745830957573,3.3914010254987077,0.3405840129641834,2.6825357137935137,0.8770833333333333,0.6173913043478261,0.5093555093555093,0.5454545454545454,-0.0018571571684856635,0.005449786745629644,5.534500146580393
Model Average,1.2216103245350143,6.007159858728662,0.9257684061966867,4.886472984861128,0.6333333333333333,0.6043478260869565,,,,,4.917410841380844
