model,pre_rmse,post_rmse,pre_mae,post_mae,pre_dir_acc,post_dir_acc,pre_regime_acc,post_regime_acc,pre_ari,post_ari,LSR
Markov Switching (MSM),1.6732470369338923,5.967683431594188,1.2725438089683776,4.677992189524363,0.44375,0.5043478260869565,0.7525987525987526,0.19913419913419914,0.24426977873195382,0.0,3.566528609524999
AR(2) Baseline,1.6339811437326301,2.7060147570271043,1.2485030526629008,2.099473127671316,0.4708333333333333,0.5478260869565217,0.6715176715176715,0.8008658008658008,0.0,0.0,1.6560868928936703
"ARMA(2,1) Baseline",1.6738577402328956,5.577255926268525,1.273920521082791,4.353893360356882,0.47291666666666665,0.0,0.6715176715176715,0.8008658008658008,0.0,0.0,3.331977257613628
HMM,1.6958661453078283,2.5591665658900795,1.293325185782813,2.0696006801328433,0.50625,0.5347826086956522,0.6403326403326404,0.7922077922077922,0.07556998723699389,0.1467735058368802,1.5090616505682326
Threshold (TAR),1.5369565037466524,2.526336818870613,1.1846499467833933,1.9911670398671932,0.5354166666666667,0.5869565217391305,0.5488565488565489,0.6926406926406926,-0.05146404032123059,0.13810612997775767,1.6437269441707767
ML Regime (XGB),0.39571176707078604,3.336944458960438,0.29693759577406076,2.5026724481468343,0.9041666666666667,0.6130434782608696,0.6424116424116424,0.8181818181818182,0.07682745360433327,0.25650650772412115,8.432765280721991
Mixture of Experts,1.339343201189854,2.6280164444410197,1.0242228024065678,2.031230673345555,0.5979166666666667,0.5869565217391305,0.5758835758835759,0.670995670995671,-0.02156251059415916,0.066808779441933,1.9621680538223196
MSNN,0.6127745830957573,2.492683460848526,0.3405840129641834,1.9009263566060381,0.8770833333333333,0.6260869565217392,0.5093555093555093,0.5324675324675324,-0.0018571571684856635,-0.0015352981494174093,4.067863657444054
Model Average,1.22161031848709,3.0147885404246013,0.9257684637500208,2.3906930624142375,0.6333333333333333,0.6130434782608696,,,,,2.467880708219952
